City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1266,Ovalle,CL,-30.5983,-71.2003,67.89,64,0,3.38,broken clouds
1267,Maceio,BR,-9.6658,-35.7353,76.44,88,0,3.44,Clear sky
1268,Atocha,BO,-20.9333,-66.2333,47.12,86,56,5.3,Clear sky
1269,Whitehorse,CA,60.7161,-135.0538,-5.19,77,100,5.75,few clouds
1270,Santa Catalina,PH,9.3337,122.8637,78.84,82,100,9.69,haze
1271,Castanos,MX,26.7833,-101.4167,30.34,80,53,7.87,Clear sky
1272,Clermont,FR,49.5,2.4167,45.72,86,100,11.3,Clear sky
1273,Marau,BR,-28.4492,-52.2,70.5,78,93,8.7,heavy intensity rain
1274,Sekoma,BW,-24.4,23.8833,68.67,85,100,9.31,Clear sky
1275,Yamada,JP,39.4667,141.95,36.18,42,83,12.57,Clear sky
1276,General Cepeda,MX,25.3833,-101.45,43.12,79,23,4.79,broken clouds
1277,Dudinka,RU,69.4058,86.1778,-22.16,100,63,4.16,Clear sky
1278,Loreto,MX,22.2667,-101.9667,51.94,42,74,3.31,Clear sky
1279,Mmabatho,ZA,-25.85,25.6333,60.76,94,0,5.75,few clouds
1280,Tiznit,MA,29.5833,-9.5,61.18,26,82,7.87,haze
1281,Yertsevo,RU,60.7966,40.086,-11.7,100,100,0.25,Clear sky
1282,Salekhard,RU,66.53,66.6019,-7.96,98,100,1.72,Clear sky
1283,Corsicana,US,32.0954,-96.4689,24.51,85,100,8.01,heavy intensity rain
1284,Lilongwe,MW,-13.9669,33.7873,68.2,94,40,4.61,Clear sky
1285,Maniitsoq,GL,65.4167,-52.9,12.18,71,100,12.06,Clear sky
1286,Velsk,RU,61.0701,42.0983,-14.19,100,98,2.62,broken clouds
1287,Presidente Dutra,BR,-5.29,-44.49,72.7,94,97,3.96,Clear sky
1288,Praxedis Guerrero,MX,31.3667,-106.0167,29.28,60,13,9.04,Clear sky
1289,Oistins,BB,13.0667,-59.5333,75.29,73,40,11.5,few clouds
1290,Ulaanbaatar,MN,47.9077,106.8832,-0.27,71,0,2.24,haze
1291,Behshahr,IR,36.6923,53.5526,42.75,37,2,5.14,Clear sky
1292,Morant Bay,JM,17.8815,-76.4093,78.42,83,7,9.44,Clear sky
1293,Carroll,US,39.5501,-77.0164,57.65,88,100,4,heavy intensity rain
1294,Muisne,EC,0.6,-80.0333,76.69,85,95,7.56,Clear sky
1295,Pokrovskoye,RU,47.4157,38.8971,34.81,89,100,8.37,Clear sky
1296,Xiongzhou,CN,25.1167,114.3,48.31,69,95,6.13,broken clouds
1297,Jilin,CN,43,126,8.04,74,61,8.72,Clear sky
1298,Uba,BR,-21.12,-42.9428,73.85,84,100,2.1,Clear sky
1299,Ler,SS,8.3018,30.1418,74.95,26,42,3.91,few clouds
1300,Vestmanna,FO,62.1564,-7.1664,34.72,69,100,36.82,haze
1301,Vigrestad,NO,58.5667,5.7,40.68,75,100,12.66,Clear sky
1302,Paso De Los Toros,UY,-32.8167,-56.5167,71.22,85,98,4.94,Clear sky
1303,Jadu,LY,31.953,12.0261,43.16,56,0,7.38,heavy intensity rain
1304,Flagstaff,US,35.1981,-111.6513,24.46,35,0,1.01,Clear sky
1305,Nador,MA,35.174,-2.9287,61.05,33,0,5.75,Clear sky
1306,Dhidhdhoo,MV,6.8833,73.1,80.8,70,14,7.74,broken clouds
1307,Ayr,GB,55.4627,-4.6339,39.18,81,75,16.11,Clear sky
1308,Tevaitoa,PF,-16.7833,-151.5,81.16,71,2,15.03,Clear sky
1309,Segovia,ES,41.1667,-4,43.43,71,100,4.72,few clouds
1310,Barddhaman,IN,23.25,87.85,67.42,85,77,5.82,haze
1311,Manyana,BW,-23.4,21.7167,66.74,77,14,5.46,Clear sky
1312,Manicore,BR,-5.8092,-61.3003,72.14,99,98,0.58,Clear sky
1313,Hong Gai,VN,20.956,107.0946,62.51,59,100,3.67,heavy intensity rain
1314,South Sioux City,US,42.4739,-96.4136,8.2,46,0,5.01,Clear sky
1315,Katiola,CI,8.1333,-5.1,66.94,14,1,2.82,Clear sky
1316,Gayeri,BF,12.6497,0.4931,65.17,14,0,11.88,broken clouds
1317,Simbahan,PH,6.3032,120.5836,80.82,79,88,16.24,Clear sky
1318,Bingol,TR,38.8847,40.4939,24.39,96,100,4.05,Clear sky
1319,Goedereede,NL,51.8175,3.9806,47.98,82,100,3,few clouds
1320,Novyy Urgal,RU,51.0736,132.5642,-7.91,87,97,0.89,haze
1321,Poronaysk,RU,49.2167,143.1167,18.12,72,100,7.58,Clear sky
1322,Straumen,NO,63.8709,11.2999,37.4,92,100,8.84,Clear sky
1323,Barranca,PE,-10.75,-77.7667,70.68,80,83,6.91,heavy intensity rain
1324,Omsukchan,RU,62.5333,155.8,-7.31,74,18,9.64,Clear sky
1325,Pallasovka,RU,50.05,46.8833,29.34,94,100,7.29,Clear sky
1326,Kanniyakumari,IN,8.0833,77.5667,79.65,71,6,1.61,broken clouds
1327,Amapa,BR,1,-52,72.14,98,100,3.27,Clear sky
1328,Catumbela,AO,-12.4314,13.5472,73.87,76,99,2.66,Clear sky
1329,Rantauprapat,ID,2.1,99.8333,83.97,72,50,3.04,few clouds
1330,Tagusao,PH,9.1924,117.8141,84.29,68,7,14.72,haze
1331,Aldan,RU,58.6031,125.3894,-8.55,91,100,4.76,Clear sky
1332,Hanko,FI,59.8333,22.95,28.83,81,69,20.51,Clear sky
1333,Pemangkat,ID,1.1667,108.9667,81.79,75,100,8.03,heavy intensity rain
1334,Datong,CN,40.0936,113.2914,16.34,33,0,6.62,Clear sky
